epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2311,2.15307,4.04981,1.92674,0.00223,0.24202,0.00944,0.0022,1.94569,3.83503,1.97223,8.574e-05,8.574e-05,8.574e-05
2,103.218,1.8638,3.87518,1.74548,0.00416,0.5333,0.12521,0.04697,1.49125,3.57379,1.46015,0.00018485,0.00018485,0.00018485
3,142.625,1.58185,3.08695,1.44612,0.00426,0.50993,0.22988,0.08938,1.42996,3.34685,1.44591,0.000282971,0.000282971,0.000282971
4,179.757,1.49553,2.44052,1.38916,0.00562,0.5599,0.35617,0.21967,1.25895,3.16521,1.35435,0.0003801,0.0003801,0.0003801
5,205.184,1.44821,2.06148,1.3677,0.95998,0.27145,0.40738,0.24226,1.26607,3.07871,1.29217,0.00047624,0.00047624,0.00047624
6,239.834,1.4094,1.90488,1.32976,0.92777,0.22896,0.45294,0.26249,1.34583,3.09882,1.39964,0.000571389,0.000571389,0.000571389
7,275.158,1.40921,1.85407,1.34752,0.95509,0.02173,0.47735,0.29506,1.27543,3.01295,1.34314,0.000665548,0.000665548,0.000665548
8,299.891,1.37985,1.77936,1.3177,0.93387,0.02723,0.32929,0.20166,1.40216,3.1033,1.50878,0.000758717,0.000758717,0.000758717
9,330.583,1.31365,1.66936,1.30396,0.95668,0.20285,0.51786,0.32233,1.37271,2.71973,1.42721,0.000850895,0.000850895,0.000850895
10,347.533,1.35775,1.59592,1.28398,0.96861,0.20172,0.56729,0.32153,1.40886,2.64676,1.42246,0.000942083,0.000942083,0.000942083
11,363.984,1.37145,1.62414,1.31344,0.71161,0.35617,0.34324,0.20344,1.42007,2.40756,1.48915,0.00103228,0.00103228,0.00103228
12,380.278,1.33587,1.55285,1.28823,0.73141,0.4229,0.58457,0.31975,1.52996,2.21101,1.54489,0.00112149,0.00112149,0.00112149
13,398.058,1.32958,1.51628,1.28823,0.72126,0.41519,0.59825,0.34359,1.45739,2.09887,1.48328,0.00120971,0.00120971,0.00120971
14,421.223,1.36621,1.56127,1.3267,0.73641,0.43738,0.45943,0.25927,1.48712,2.17271,1.62245,0.00129693,0.00129693,0.00129693
15,434.305,1.36995,1.513,1.33073,0.48213,0.46209,0.53028,0.29498,1.56144,2.12525,1.67274,0.00132997,0.00132997,0.00132997
16,449.717,1.3571,1.43713,1.30593,0.53174,0.48051,0.50049,0.26664,1.69361,2.06429,1.74911,0.0013229,0.0013229,0.0013229
17,464.672,1.3195,1.369,1.27483,0.4778,0.60882,0.58255,0.30699,1.50693,2.08455,1.59534,0.00131582,0.00131582,0.00131582
18,481.839,1.38516,1.40408,1.3243,0.80485,0.35199,0.57111,0.28225,1.59237,2.31112,1.5981,0.00130875,0.00130875,0.00130875
19,493.65,1.28743,1.34389,1.26907,0.5925,0.65937,0.67234,0.38397,1.40635,1.72839,1.45311,0.00130168,0.00130168,0.00130168
20,507.114,1.31426,1.27811,1.2721,0.65333,0.61806,0.66895,0.36633,1.53056,1.67277,1.52567,0.0012946,0.0012946,0.0012946
21,518.931,1.29108,1.27988,1.28643,0.50681,0.68949,0.67412,0.37985,1.51776,1.6542,1.58102,0.00128753,0.00128753,0.00128753
22,527.943,1.26476,1.26001,1.25932,0.53204,0.60953,0.58876,0.32135,1.56575,1.69519,1.67333,0.00128046,0.00128046,0.00128046
23,539.114,1.32005,1.24484,1.29397,0.66074,0.7104,0.76022,0.45251,1.37057,1.50502,1.41633,0.00127338,0.00127338,0.00127338
24,547.032,1.25187,1.21536,1.24284,0.60905,0.6174,0.65315,0.36023,1.44699,1.61335,1.41419,0.00126631,0.00126631,0.00126631
25,555.198,1.26038,1.1248,1.25214,0.53006,0.64467,0.60219,0.29033,1.61114,1.69662,1.56791,0.00125923,0.00125923,0.00125923
26,562.109,1.27573,1.17961,1.26576,0.4419,0.47194,0.40601,0.19782,1.65939,2.01034,1.60972,0.00125216,0.00125216,0.00125216
27,571.449,1.28977,1.18101,1.24629,0.55879,0.6162,0.61979,0.3603,1.4573,1.47815,1.47368,0.00124509,0.00124509,0.00124509
28,581.631,1.26814,1.10976,1.2408,0.61395,0.48391,0.57444,0.34143,1.40247,1.98098,1.4123,0.00123801,0.00123801,0.00123801
29,584.627,1.27573,1.15083,1.2558,0.73966,0.52501,0.62449,0.38722,1.34942,1.55611,1.3361,0.00123094,0.00123094,0.00123094
30,592.313,1.23703,1.10447,1.22255,0.76203,0.72075,0.77394,0.46852,1.31639,1.31717,1.39477,0.00122387,0.00122387,0.00122387
31,601.419,1.22909,1.09257,1.23668,0.74146,0.70586,0.76045,0.46196,1.36515,1.30948,1.44042,0.00121679,0.00121679,0.00121679
32,606.954,1.2193,1.07689,1.25352,0.77378,0.68559,0.77139,0.47778,1.25481,1.30546,1.35703,0.00120972,0.00120972,0.00120972
33,620.324,1.16993,1.02339,1.20996,0.68698,0.73755,0.77176,0.46836,1.31023,1.31987,1.34093,0.00120265,0.00120265,0.00120265
34,633.646,1.21688,1.02373,1.21403,0.6813,0.65428,0.70469,0.41262,1.36722,1.57773,1.40388,0.00119557,0.00119557,0.00119557
35,640.709,1.19317,1.00511,1.21768,0.79666,0.74939,0.80692,0.49813,1.29223,1.28798,1.33786,0.0011885,0.0011885,0.0011885
36,643.137,1.20993,1.0196,1.2367,0.70664,0.76623,0.8005,0.47824,1.31784,1.15276,1.34981,0.00118143,0.00118143,0.00118143
37,647.598,1.17164,0.98919,1.2074,0.76077,0.69045,0.77435,0.45579,1.38403,1.18547,1.38083,0.00117435,0.00117435,0.00117435
38,649.833,1.17601,0.96359,1.18506,0.76438,0.75314,0.80622,0.48923,1.3479,1.14229,1.32351,0.00116728,0.00116728,0.00116728
39,654.308,1.13323,0.90536,1.17947,0.80149,0.77613,0.84453,0.53476,1.26104,0.98106,1.29293,0.00116021,0.00116021,0.00116021
40,667.266,1.17793,0.9758,1.19541,0.80024,0.76885,0.81449,0.51409,1.30148,1.01505,1.29095,0.00115313,0.00115313,0.00115313
41,679.211,1.16215,0.93937,1.17911,0.79318,0.80333,0.84928,0.54406,1.24204,0.94452,1.26619,0.00114606,0.00114606,0.00114606
42,685.809,1.1772,0.92984,1.19379,0.80033,0.78929,0.82627,0.52287,1.2199,0.96353,1.25576,0.00113898,0.00113898,0.00113898
43,698.298,1.13561,0.9043,1.1747,0.80519,0.80847,0.85563,0.55209,1.22174,0.90297,1.25877,0.00113191,0.00113191,0.00113191
44,704.781,1.14618,0.89015,1.18418,0.80901,0.79884,0.83301,0.53527,1.27216,0.94937,1.27775,0.00112484,0.00112484,0.00112484
45,715.959,1.13972,0.90837,1.16331,0.83472,0.80186,0.86119,0.53829,1.28181,0.88173,1.32896,0.00111776,0.00111776,0.00111776
46,726.857,1.15241,0.90836,1.19837,0.79401,0.79486,0.83406,0.53587,1.20962,0.98868,1.254,0.00111069,0.00111069,0.00111069
47,741.326,1.13149,0.93927,1.18107,0.83262,0.79886,0.87441,0.57114,1.19944,0.94597,1.23513,0.00110362,0.00110362,0.00110362
48,758.045,1.12163,0.90774,1.176,0.743,0.82906,0.87425,0.55168,1.22516,0.98407,1.26092,0.00109654,0.00109654,0.00109654
49,771.525,1.12566,0.85885,1.19004,0.83697,0.80727,0.86653,0.56388,1.16961,0.96651,1.23494,0.00108947,0.00108947,0.00108947
50,777.843,1.1486,0.88012,1.19016,0.80162,0.79129,0.83369,0.52021,1.2521,0.96216,1.33576,0.0010824,0.0010824,0.0010824
51,787.954,1.12029,0.87286,1.17336,0.76366,0.80458,0.83546,0.54189,1.22282,1.01843,1.26886,0.00107532,0.00107532,0.00107532
52,790.314,1.11982,0.83375,1.16463,0.82685,0.84231,0.86537,0.5582,1.23949,0.90674,1.26369,0.00106825,0.00106825,0.00106825
53,792.665,1.09574,0.84698,1.14134,0.78387,0.81265,0.84032,0.55327,1.2164,0.95076,1.26734,0.00106118,0.00106118,0.00106118
54,794.874,1.089,0.80672,1.14781,0.76041,0.85286,0.82502,0.54227,1.18633,0.91416,1.23895,0.0010541,0.0010541,0.0010541
55,797.137,1.08754,0.81485,1.15199,0.84151,0.86815,0.89851,0.59162,1.18969,0.77805,1.22894,0.00104703,0.00104703,0.00104703
56,799.474,1.13028,0.85141,1.15179,0.853,0.86297,0.89346,0.57975,1.20713,0.81067,1.23821,0.00103995,0.00103995,0.00103995
57,801.675,1.0837,0.85561,1.16206,0.79639,0.83562,0.8607,0.56106,1.23915,0.83063,1.25371,0.00103288,0.00103288,0.00103288
58,803.889,1.12487,0.85104,1.15963,0.82908,0.78372,0.82203,0.54021,1.17801,0.94768,1.24023,0.00102581,0.00102581,0.00102581
59,806.082,1.08565,0.80383,1.14409,0.86186,0.83061,0.87176,0.58281,1.15073,0.87197,1.24767,0.00101873,0.00101873,0.00101873
60,808.313,1.0924,0.82746,1.15778,0.7979,0.77626,0.8189,0.526,1.19671,0.95087,1.26188,0.00101166,0.00101166,0.00101166
61,810.533,1.05252,0.81309,1.1299,0.8261,0.86643,0.85942,0.5633,1.1629,0.8422,1.22097,0.00100459,0.00100459,0.00100459
62,812.743,1.06616,0.81318,1.13533,0.84764,0.84976,0.86819,0.57594,1.16845,0.80019,1.23045,0.000997513,0.000997513,0.000997513
63,814.966,1.06729,0.79104,1.1339,0.8171,0.83908,0.86681,0.55703,1.21642,0.87028,1.25484,0.00099044,0.00099044,0.00099044
64,817.254,1.06131,0.77985,1.14516,0.86175,0.84694,0.87806,0.56813,1.21223,0.8,1.26347,0.000983366,0.000983366,0.000983366
65,819.45,1.09422,0.81083,1.15416,0.80274,0.86921,0.88005,0.57322,1.26007,0.81029,1.26645,0.000976293,0.000976293,0.000976293
66,821.619,1.05476,0.76652,1.12513,0.83965,0.8396,0.89321,0.57535,1.25704,0.78864,1.26728,0.000969219,0.000969219,0.000969219
67,823.976,1.06492,0.78923,1.13103,0.85674,0.85046,0.90753,0.58849,1.23835,0.78146,1.26902,0.000962146,0.000962146,0.000962146
68,826.158,1.04479,0.74625,1.12394,0.82143,0.85018,0.88612,0.58659,1.18417,0.80548,1.24822,0.000955072,0.000955072,0.000955072
69,828.327,1.03569,0.75379,1.11438,0.90839,0.8697,0.91168,0.60943,1.17401,0.72029,1.21939,0.000947999,0.000947999,0.000947999
70,830.543,1.03563,0.78341,1.13346,0.8885,0.79963,0.8961,0.59069,1.20296,0.79503,1.24837,0.000940925,0.000940925,0.000940925
71,832.796,1.06133,0.76891,1.13654,0.85056,0.85279,0.90131,0.59491,1.19257,0.75877,1.234,0.000933851,0.000933851,0.000933851
72,834.984,1.0522,0.78315,1.12895,0.86135,0.83941,0.88606,0.57656,1.23126,0.79443,1.24649,0.000926778,0.000926778,0.000926778
73,837.164,1.02699,0.7482,1.11396,0.88394,0.82706,0.89649,0.60078,1.16281,0.79887,1.21136,0.000919704,0.000919704,0.000919704
74,839.46,1.03218,0.75619,1.13639,0.85543,0.86566,0.89156,0.59845,1.16555,0.73295,1.21152,0.000912631,0.000912631,0.000912631
75,841.667,1.03266,0.73953,1.12479,0.88514,0.85976,0.89284,0.60193,1.15491,0.72608,1.21561,0.000905557,0.000905557,0.000905557
76,843.931,1.0103,0.71897,1.10577,0.88608,0.86337,0.90228,0.59256,1.19474,0.74174,1.21548,0.000898484,0.000898484,0.000898484
77,846.101,1.06972,0.75427,1.1504,0.82699,0.86741,0.89391,0.60055,1.16739,0.72977,1.22785,0.00089141,0.00089141,0.00089141
78,848.36,1.00068,0.72354,1.11127,0.86446,0.83923,0.89052,0.58995,1.16989,0.75247,1.22043,0.000884337,0.000884337,0.000884337
79,850.573,1.05999,0.73965,1.14914,0.90389,0.85437,0.89948,0.58718,1.19409,0.74543,1.24276,0.000877263,0.000877263,0.000877263
80,853.405,1.01899,0.74086,1.12162,0.85218,0.88017,0.90603,0.60479,1.15654,0.7546,1.21099,0.00087019,0.00087019,0.00087019
81,855.614,0.98349,0.71169,1.1115,0.8932,0.83973,0.91856,0.60438,1.16355,0.73285,1.21872,0.000863116,0.000863116,0.000863116
82,858.503,0.99231,0.71105,1.10403,0.88573,0.85679,0.92088,0.61867,1.14877,0.71447,1.20379,0.000856042,0.000856042,0.000856042
83,861.889,1.00653,0.71555,1.10898,0.90114,0.83808,0.90663,0.60967,1.13999,0.71948,1.18598,0.000848969,0.000848969,0.000848969
84,864.081,0.98515,0.70291,1.09173,0.88189,0.85072,0.91087,0.60551,1.1853,0.72246,1.20866,0.000841895,0.000841895,0.000841895
85,868.022,0.99884,0.71542,1.1106,0.91357,0.87218,0.92837,0.62545,1.14763,0.70273,1.21506,0.000834822,0.000834822,0.000834822
86,871.622,1.01415,0.72335,1.10541,0.90864,0.81636,0.9119,0.60864,1.16334,0.70406,1.20651,0.000827748,0.000827748,0.000827748
87,883.325,1.02078,0.7216,1.09815,0.85021,0.87239,0.90303,0.59855,1.17182,0.71991,1.22406,0.000820675,0.000820675,0.000820675
88,885.567,1.02647,0.74595,1.1096,0.85494,0.87171,0.91009,0.59895,1.15367,0.73704,1.21149,0.000813601,0.000813601,0.000813601
89,887.908,1.02838,0.71827,1.10196,0.88514,0.88646,0.93964,0.62606,1.13704,0.70041,1.1957,0.000806528,0.000806528,0.000806528
90,890.187,1.00048,0.70874,1.11023,0.89785,0.88349,0.93082,0.61689,1.1383,0.696,1.1981,0.000799454,0.000799454,0.000799454
91,892.448,1.0051,0.71123,1.11687,0.8645,0.87945,0.90745,0.60395,1.14936,0.71781,1.2076,0.00079238,0.00079238,0.00079238
92,894.675,0.98753,0.69565,1.09672,0.90338,0.8803,0.91883,0.61292,1.15265,0.68457,1.21189,0.000785307,0.000785307,0.000785307
93,897.624,0.99177,0.70093,1.10028,0.8844,0.86659,0.913,0.61326,1.14683,0.71666,1.20386,0.000778233,0.000778233,0.000778233
94,900.965,0.96761,0.67362,1.08251,0.88026,0.84303,0.90251,0.59632,1.18145,0.75117,1.22432,0.00077116,0.00077116,0.00077116
95,903.146,0.96515,0.67086,1.07449,0.85523,0.86916,0.89975,0.61018,1.14639,0.70811,1.20349,0.000764086,0.000764086,0.000764086
96,905.347,0.9746,0.67484,1.09755,0.88387,0.85287,0.92097,0.63498,1.11003,0.67205,1.17822,0.000757013,0.000757013,0.000757013
97,907.565,0.94809,0.63694,1.06401,0.91764,0.85303,0.92684,0.62901,1.14129,0.67945,1.19227,0.000749939,0.000749939,0.000749939
98,909.741,1.00134,0.67509,1.09505,0.91558,0.85429,0.92512,0.60099,1.2063,0.69434,1.22529,0.000742866,0.000742866,0.000742866
99,912.043,0.95194,0.66081,1.09204,0.9005,0.89842,0.92217,0.63093,1.13279,0.66353,1.19119,0.000735792,0.000735792,0.000735792
100,914.297,0.95716,0.66619,1.06419,0.91106,0.87001,0.9261,0.62692,1.13896,0.67207,1.20171,0.000728719,0.000728719,0.000728719
101,918.509,0.93769,0.66434,1.07606,0.93142,0.87097,0.92689,0.62722,1.13736,0.67233,1.20078,0.000721645,0.000721645,0.000721645
102,920.702,0.94083,0.64587,1.07331,0.91761,0.88028,0.92959,0.61772,1.15513,0.67156,1.21736,0.000714571,0.000714571,0.000714571
103,922.958,0.98404,0.67578,1.09291,0.90218,0.84992,0.91744,0.61429,1.16944,0.68779,1.21168,0.000707498,0.000707498,0.000707498
104,925.129,0.9628,0.67936,1.08975,0.88586,0.8765,0.90847,0.60176,1.17586,0.67875,1.21752,0.000700424,0.000700424,0.000700424
105,927.316,0.94302,0.6389,1.08254,0.86341,0.8732,0.89509,0.59905,1.16453,0.70222,1.21788,0.000693351,0.000693351,0.000693351
106,929.527,0.98481,0.69035,1.09737,0.89612,0.88904,0.91392,0.60969,1.17027,0.68434,1.21174,0.000686277,0.000686277,0.000686277
107,931.712,0.93569,0.6304,1.06795,0.89636,0.88113,0.92326,0.62243,1.12575,0.67798,1.18358,0.000679204,0.000679204,0.000679204
108,934.061,0.93083,0.63441,1.06633,0.91803,0.9038,0.92548,0.62223,1.1506,0.66107,1.19807,0.00067213,0.00067213,0.00067213
109,937.918,0.95407,0.6661,1.06741,0.90525,0.88317,0.92486,0.6206,1.1613,0.64537,1.22083,0.000665057,0.000665057,0.000665057
110,941.922,0.94416,0.65305,1.06146,0.91376,0.83636,0.90522,0.61719,1.12289,0.67303,1.18048,0.000657983,0.000657983,0.000657983
111,954.072,0.96778,0.65208,1.07465,0.8869,0.87527,0.9147,0.62295,1.13412,0.67477,1.18015,0.000650909,0.000650909,0.000650909
112,960.654,0.92928,0.64189,1.06909,0.92266,0.84829,0.91128,0.62726,1.13353,0.69419,1.19237,0.000643836,0.000643836,0.000643836
113,969.175,0.92476,0.62846,1.07501,0.88875,0.87636,0.92018,0.61276,1.17328,0.68387,1.22047,0.000636762,0.000636762,0.000636762
114,975.723,0.92916,0.62355,1.06557,0.89538,0.87976,0.92444,0.62991,1.13127,0.64659,1.21682,0.000629689,0.000629689,0.000629689
115,978.051,0.91709,0.62588,1.06741,0.86511,0.87825,0.92322,0.61896,1.16826,0.67599,1.22696,0.000622615,0.000622615,0.000622615
116,984.502,0.9293,0.6453,1.08414,0.87433,0.86841,0.91002,0.62026,1.15095,0.66125,1.22016,0.000615542,0.000615542,0.000615542
117,993.141,0.9171,0.64181,1.06891,0.86782,0.91266,0.93195,0.62074,1.16199,0.65177,1.21757,0.000608468,0.000608468,0.000608468
118,995.381,0.89786,0.61134,1.06098,0.88705,0.89214,0.93277,0.63653,1.14172,0.62287,1.2017,0.000601395,0.000601395,0.000601395
119,997.626,0.94461,0.64328,1.09422,0.87905,0.86778,0.90794,0.61296,1.15746,0.6819,1.20191,0.000594321,0.000594321,0.000594321
120,999.846,0.89505,0.61581,1.05294,0.89035,0.87867,0.93074,0.62729,1.1627,0.67143,1.20396,0.000587248,0.000587248,0.000587248
