epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6504,2.1348,3.95449,1.9532,0.00191,0.20559,0.00547,0.00161,1.98797,3.77902,2.05213,4.287e-05,4.287e-05,4.287e-05
2,49.6452,2.1122,3.97584,1.95301,0.00237,0.29516,0.01755,0.00484,1.73436,3.70724,1.84943,9.95349e-05,9.95349e-05,9.95349e-05
3,66.8821,1.77384,3.74064,1.68409,0.00404,0.50944,0.10026,0.04987,1.36373,3.49463,1.43009,0.000155634,0.000155634,0.000155634
4,69.0972,1.57908,3.30651,1.48711,0.00465,0.54874,0.18777,0.09596,1.2821,3.38342,1.29267,0.000211167,0.000211167,0.000211167
5,75.4422,1.51044,2.84056,1.41524,0.00419,0.48991,0.26785,0.16502,1.23215,3.32402,1.31545,0.000266134,0.000266134,0.000266134
6,78.2083,1.43237,2.51555,1.39276,0.9527,0.06111,0.28941,0.18263,1.20985,3.17477,1.32076,0.000320535,0.000320535,0.000320535
7,80.5293,1.42369,2.15723,1.35184,1,0.18314,0.47386,0.3003,1.19045,2.95496,1.32099,0.000374371,0.000374371,0.000374371
8,82.5743,1.39972,2.05521,1.34655,1,0.02931,0.50048,0.33509,1.16648,2.98003,1.27905,0.00042764,0.00042764,0.00042764
9,84.3723,1.34803,1.87599,1.2852,0.94376,0.17423,0.48671,0.32783,1.15382,2.8527,1.2292,0.000480344,0.000480344,0.000480344
10,89.8365,1.34155,1.82647,1.30867,0.97738,0.13877,0.49846,0.31991,1.21415,2.91323,1.32537,0.000532482,0.000532482,0.000532482
11,95.0436,1.30857,1.7251,1.29018,0.98918,0.15059,0.54532,0.36168,1.16318,2.87909,1.29661,0.000584054,0.000584054,0.000584054
12,96.7688,1.24515,1.58444,1.26649,0.97606,0.14141,0.60521,0.3982,1.18645,2.76137,1.30639,0.00063506,0.00063506,0.00063506
13,98.5096,1.28819,1.58874,1.27168,0.97325,0.12531,0.56034,0.33661,1.21901,2.82051,1.34377,0.0006855,0.0006855,0.0006855
14,100.307,1.26226,1.50423,1.25839,1,0.09572,0.54557,0.33459,1.24025,2.90607,1.35451,0.000735374,0.000735374,0.000735374
15,102.64,1.28807,1.53057,1.24938,0.94616,0.23077,0.46483,0.27976,1.3085,2.82681,1.46254,0.000784682,0.000784682,0.000784682
16,104.226,1.24985,1.5216,1.2885,0.8903,0.13892,0.53227,0.32867,1.21944,2.80947,1.32652,0.000833425,0.000833425,0.000833425
17,106.003,1.25657,1.50131,1.26183,0.95097,0.22134,0.55248,0.34085,1.26968,2.67493,1.34307,0.000881602,0.000881602,0.000881602
18,107.602,1.26673,1.47981,1.24549,0.76012,0.28595,0.51524,0.33567,1.24663,2.55704,1.3361,0.000929212,0.000929212,0.000929212
19,109.297,1.25019,1.36319,1.22918,0.81247,0.24733,0.52371,0.33683,1.22612,2.62056,1.28091,0.000976257,0.000976257,0.000976257
20,110.912,1.26047,1.37535,1.23733,0.77675,0.44355,0.71033,0.44677,1.24772,2.17666,1.35204,0.00102274,0.00102274,0.00102274
21,112.553,1.26403,1.37184,1.24435,0.79485,0.30946,0.62252,0.41642,1.20337,2.40939,1.31333,0.00106865,0.00106865,0.00106865
22,114.121,1.26674,1.39003,1.28651,0.74583,0.41573,0.71522,0.47117,1.21396,2.23632,1.28083,0.001114,0.001114,0.001114
23,115.794,1.26519,1.36163,1.26147,0.78723,0.50985,0.75785,0.47386,1.21635,2.10864,1.3776,0.00115878,0.00115878,0.00115878
24,117.711,1.23025,1.29272,1.24712,0.74169,0.48028,0.69271,0.45479,1.16384,2.14541,1.30859,0.00120299,0.00120299,0.00120299
25,122.154,1.22743,1.26776,1.20249,0.48432,0.51216,0.61664,0.38195,1.26583,2.05889,1.4027,0.00124664,0.00124664,0.00124664
26,123.755,1.17707,1.18708,1.20209,0.60329,0.63755,0.71474,0.44751,1.24756,1.77788,1.36597,0.00125216,0.00125216,0.00125216
27,125.318,1.23198,1.30099,1.23691,0.60493,0.53179,0.64684,0.35091,1.43648,1.99347,1.6243,0.00124509,0.00124509,0.00124509
28,126.9,1.20156,1.22157,1.21609,0.55148,0.65281,0.68903,0.40952,1.35954,1.76666,1.48812,0.00123801,0.00123801,0.00123801
29,128.535,1.18083,1.17435,1.20092,0.58839,0.61745,0.68363,0.46245,1.20048,1.61523,1.33337,0.00123094,0.00123094,0.00123094
30,130.097,1.22442,1.22994,1.23897,0.60185,0.60223,0.65777,0.41931,1.27381,1.75749,1.40683,0.00122387,0.00122387,0.00122387
31,131.862,1.2302,1.1878,1.24096,0.47705,0.66563,0.66555,0.43357,1.22118,1.79925,1.37286,0.00121679,0.00121679,0.00121679
32,133.441,1.1962,1.20109,1.22378,0.59151,0.57587,0.68416,0.44924,1.21455,1.58158,1.32217,0.00120972,0.00120972,0.00120972
33,134.964,1.20178,1.17069,1.22284,0.65556,0.68552,0.80432,0.50257,1.25431,1.38002,1.3829,0.00120265,0.00120265,0.00120265
34,136.502,1.21042,1.13651,1.22537,0.71203,0.63262,0.71781,0.46604,1.2831,1.46458,1.40846,0.00119557,0.00119557,0.00119557
35,138.069,1.18863,1.11552,1.21015,0.64762,0.69251,0.78627,0.53885,1.15497,1.50189,1.30042,0.0011885,0.0011885,0.0011885
36,139.692,1.20197,1.1446,1.22806,0.64484,0.72621,0.74103,0.47369,1.15647,1.64489,1.2941,0.00118143,0.00118143,0.00118143
37,141.284,1.22394,1.07689,1.23045,0.51727,0.77093,0.77521,0.52002,1.17807,1.59298,1.30619,0.00117435,0.00117435,0.00117435
38,143.049,1.18207,1.07113,1.19864,0.59648,0.70647,0.72472,0.47571,1.16305,1.49317,1.26587,0.00116728,0.00116728,0.00116728
39,144.602,1.21529,1.09477,1.2387,0.61842,0.74068,0.74768,0.50024,1.12032,1.28113,1.23607,0.00116021,0.00116021,0.00116021
40,146.169,1.14784,1.01627,1.19733,0.67992,0.70903,0.8301,0.559,1.11076,1.33687,1.23189,0.00115313,0.00115313,0.00115313
41,147.724,1.11859,1.00894,1.18239,0.65472,0.72323,0.78201,0.50206,1.12452,1.32317,1.24597,0.00114606,0.00114606,0.00114606
42,149.266,1.12906,0.99429,1.17564,0.6324,0.72787,0.78694,0.5213,1.1046,1.35453,1.22075,0.00113898,0.00113898,0.00113898
43,150.793,1.12917,0.9669,1.15284,0.62738,0.76843,0.80423,0.52332,1.12936,1.49683,1.25754,0.00113191,0.00113191,0.00113191
44,152.383,1.15593,0.98222,1.18956,0.63416,0.68624,0.79219,0.52006,1.14298,1.91817,1.2725,0.00112484,0.00112484,0.00112484
45,154.125,1.12266,0.92564,1.16752,0.67855,0.75629,0.82389,0.55398,1.11482,1.42653,1.26833,0.00111776,0.00111776,0.00111776
46,155.653,1.11899,0.9327,1.17696,0.73853,0.76733,0.84299,0.57612,1.14378,1.2695,1.27016,0.00111069,0.00111069,0.00111069
47,157.237,1.13349,0.95779,1.17636,0.71587,0.74963,0.78134,0.5088,1.20295,1.08562,1.28581,0.00110362,0.00110362,0.00110362
48,158.762,1.1497,0.95733,1.1899,0.72353,0.8488,0.84412,0.56768,1.15075,1.05808,1.29913,0.00109654,0.00109654,0.00109654
49,160.293,1.09029,0.90704,1.17346,0.68741,0.83181,0.79349,0.53604,1.13755,1.2394,1.26825,0.00108947,0.00108947,0.00108947
50,161.832,1.06582,0.88008,1.14637,0.66249,0.77336,0.75604,0.51046,1.12126,1.31927,1.24788,0.0010824,0.0010824,0.0010824
51,163.386,1.14065,0.93327,1.17974,0.75334,0.8131,0.80408,0.51693,1.15011,1.07431,1.27636,0.00107532,0.00107532,0.00107532
52,165.181,1.06481,0.90147,1.13908,0.71508,0.84115,0.82678,0.54945,1.08117,1.1496,1.21506,0.00106825,0.00106825,0.00106825
53,166.807,1.09636,0.91489,1.1559,0.69368,0.79565,0.79114,0.55821,1.00691,1.10742,1.16676,0.00106118,0.00106118,0.00106118
54,168.827,1.07971,0.90077,1.14333,0.7843,0.87063,0.86075,0.58977,1.08072,1.07114,1.22779,0.0010541,0.0010541,0.0010541
55,170.389,1.06672,0.90107,1.15985,0.73591,0.78511,0.83306,0.57665,1.05571,1.19368,1.21212,0.00104703,0.00104703,0.00104703
56,171.925,1.03456,0.82606,1.1275,0.78846,0.81864,0.88398,0.62048,1.03151,1.00119,1.19057,0.00103995,0.00103995,0.00103995
57,173.494,1.07037,0.8499,1.14613,0.76074,0.85519,0.86627,0.60449,1.03002,1.06083,1.19814,0.00103288,0.00103288,0.00103288
58,175.03,1.03314,0.83249,1.11865,0.80925,0.79903,0.8623,0.5822,1.08635,1.03018,1.24514,0.00102581,0.00102581,0.00102581
59,176.745,1.05586,0.83991,1.14475,0.75282,0.82645,0.83513,0.57209,1.11791,0.9565,1.26529,0.00101873,0.00101873,0.00101873
60,178.364,1.04892,0.85079,1.12662,0.77989,0.85773,0.87765,0.58987,1.10173,0.88564,1.23973,0.00101166,0.00101166,0.00101166
61,179.919,1.03431,0.81601,1.12211,0.84826,0.83856,0.90821,0.63888,1.0224,0.82881,1.19291,0.00100459,0.00100459,0.00100459
62,181.801,1.05494,0.83393,1.15699,0.87588,0.87051,0.92696,0.646,1.07191,0.82776,1.23929,0.000997513,0.000997513,0.000997513
63,183.386,1.03192,0.80039,1.12837,0.7866,0.79176,0.85596,0.60712,1.03093,0.88675,1.17324,0.00099044,0.00099044,0.00099044
64,185.047,1.04912,0.81023,1.13947,0.77378,0.79055,0.8619,0.61613,1.05677,1.08986,1.20181,0.000983366,0.000983366,0.000983366
65,186.63,1.03929,0.80431,1.13419,0.83987,0.87331,0.91705,0.66868,0.99164,0.82988,1.15651,0.000976293,0.000976293,0.000976293
66,188.487,1.05328,0.83739,1.14968,0.8504,0.86389,0.90273,0.61899,1.09835,0.83263,1.2,0.000969219,0.000969219,0.000969219
67,190.156,1.05782,0.82249,1.11465,0.86652,0.85551,0.90655,0.64415,1.02112,0.82284,1.17465,0.000962146,0.000962146,0.000962146
68,191.754,1.02222,0.77128,1.10631,0.84893,0.85268,0.90082,0.62231,1.03059,0.7824,1.16618,0.000955072,0.000955072,0.000955072
69,193.463,1.00062,0.75669,1.10411,0.78236,0.85644,0.86982,0.57165,1.13045,0.88328,1.22838,0.000947999,0.000947999,0.000947999
70,195.204,1.01864,0.76398,1.13386,0.784,0.84653,0.86631,0.58087,1.08124,0.92327,1.22395,0.000940925,0.000940925,0.000940925
71,196.713,1.02508,0.7493,1.11023,0.85024,0.85,0.90381,0.63349,1.05079,0.78321,1.18169,0.000933851,0.000933851,0.000933851
72,198.199,1.00346,0.7413,1.10793,0.88572,0.84739,0.90692,0.64771,1.02781,0.76333,1.17968,0.000926778,0.000926778,0.000926778
73,199.892,1.00412,0.76177,1.11588,0.86343,0.87784,0.92273,0.65289,1.04346,0.73129,1.18479,0.000919704,0.000919704,0.000919704
74,201.422,0.99233,0.74282,1.08864,0.89854,0.90818,0.9448,0.69014,0.97505,0.67979,1.13876,0.000912631,0.000912631,0.000912631
75,202.979,1.00791,0.75452,1.1148,0.88035,0.92113,0.94102,0.68547,0.98016,0.69728,1.14467,0.000905557,0.000905557,0.000905557
76,204.483,0.97159,0.74208,1.09324,0.81963,0.90901,0.91178,0.65618,0.97405,0.79381,1.13259,0.000898484,0.000898484,0.000898484
77,206.001,0.9857,0.7463,1.10461,0.82677,0.86006,0.91642,0.66322,0.98361,0.78171,1.13787,0.00089141,0.00089141,0.00089141
78,207.492,0.98025,0.74935,1.09497,0.89217,0.88297,0.94987,0.69683,0.96853,0.69,1.14481,0.000884337,0.000884337,0.000884337
79,209.071,0.93901,0.69124,1.06829,0.83364,0.92077,0.91435,0.6816,0.99636,0.69124,1.18127,0.000877263,0.000877263,0.000877263
80,210.811,0.97476,0.7277,1.10206,0.86513,0.85393,0.9205,0.6855,0.99158,0.70145,1.1651,0.00087019,0.00087019,0.00087019
81,212.307,0.96637,0.72633,1.09269,0.91238,0.89736,0.93827,0.69089,0.97589,0.70856,1.14301,0.000863116,0.000863116,0.000863116
82,213.811,0.93219,0.72136,1.08829,0.90204,0.9002,0.93845,0.67273,1.02807,0.69876,1.17707,0.000856042,0.000856042,0.000856042
83,215.306,0.95117,0.70181,1.08767,0.88458,0.92681,0.93305,0.65414,1.04284,0.72169,1.18816,0.000848969,0.000848969,0.000848969
84,216.865,0.94057,0.70422,1.07486,0.85841,0.83162,0.86979,0.61678,1.05882,0.79124,1.23199,0.000841895,0.000841895,0.000841895
85,218.4,0.94612,0.71222,1.08324,0.91206,0.86075,0.90896,0.65816,1.04991,0.78629,1.18238,0.000834822,0.000834822,0.000834822
86,219.983,0.95932,0.69487,1.08559,0.8856,0.88835,0.92316,0.6563,1.06987,0.74427,1.18273,0.000827748,0.000827748,0.000827748
87,221.855,0.96553,0.68178,1.08655,0.88227,0.89267,0.93145,0.67002,1.00541,0.72167,1.17686,0.000820675,0.000820675,0.000820675
88,223.364,0.95833,0.69192,1.09851,0.86849,0.8777,0.9118,0.64926,1.05518,0.74032,1.19719,0.000813601,0.000813601,0.000813601
89,224.911,0.95301,0.69678,1.0941,0.88989,0.87272,0.92908,0.66375,1.02178,0.6943,1.17666,0.000806528,0.000806528,0.000806528
90,226.413,0.93595,0.69253,1.07296,0.91112,0.88976,0.93854,0.68885,0.97391,0.65231,1.15842,0.000799454,0.000799454,0.000799454
91,227.961,0.91934,0.6558,1.05747,0.87072,0.90186,0.92991,0.66722,1.04318,0.71276,1.18623,0.00079238,0.00079238,0.00079238
92,229.482,0.93021,0.66272,1.07547,0.83487,0.88678,0.92158,0.67224,0.97865,0.74311,1.16382,0.000785307,0.000785307,0.000785307
93,230.998,0.95686,0.67556,1.0977,0.90025,0.84644,0.91733,0.68273,0.95021,0.75013,1.13239,0.000778233,0.000778233,0.000778233
94,232.553,0.93457,0.67005,1.06723,0.91959,0.87684,0.94008,0.70515,0.91241,0.64977,1.09822,0.00077116,0.00077116,0.00077116
95,234.328,0.9296,0.68396,1.08208,0.8885,0.8979,0.93766,0.69674,0.9572,0.65,1.11801,0.000764086,0.000764086,0.000764086
96,235.872,0.93484,0.66308,1.07949,0.91805,0.90842,0.93084,0.70022,0.92769,0.64508,1.10975,0.000757013,0.000757013,0.000757013
97,237.472,0.92173,0.67915,1.06782,0.90161,0.92154,0.95133,0.71066,0.93001,0.60089,1.10845,0.000749939,0.000749939,0.000749939
98,239.003,0.88316,0.61828,1.05272,0.88135,0.94746,0.9553,0.71628,0.90848,0.61763,1.10324,0.000742866,0.000742866,0.000742866
99,240.615,0.92054,0.6544,1.08385,0.91138,0.93164,0.95989,0.7109,0.92638,0.60162,1.1093,0.000735792,0.000735792,0.000735792
100,246.771,0.89842,0.63267,1.04365,0.89455,0.92071,0.94906,0.70164,0.93152,0.62282,1.11525,0.000728719,0.000728719,0.000728719
101,250.173,0.88452,0.62721,1.04649,0.89488,0.9121,0.95573,0.71614,0.93043,0.60586,1.1214,0.000721645,0.000721645,0.000721645
102,252.069,0.89669,0.65134,1.05207,0.9299,0.91246,0.95442,0.71251,0.94522,0.5976,1.12474,0.000714571,0.000714571,0.000714571
103,253.657,0.92215,0.64145,1.08126,0.93177,0.93142,0.9496,0.70739,0.93528,0.6065,1.13964,0.000707498,0.000707498,0.000707498
104,255.324,0.90683,0.67532,1.07448,0.90241,0.93077,0.94731,0.70631,0.90489,0.60224,1.09938,0.000700424,0.000700424,0.000700424
105,256.894,0.87137,0.62139,1.0532,0.89131,0.93301,0.95351,0.71749,0.93029,0.58572,1.11077,0.000693351,0.000693351,0.000693351
106,258.424,0.90358,0.64353,1.075,0.91277,0.93157,0.95802,0.72762,0.90103,0.58233,1.09466,0.000686277,0.000686277,0.000686277
107,259.972,0.92622,0.64687,1.06661,0.90476,0.90006,0.95537,0.71323,0.93191,0.63034,1.1113,0.000679204,0.000679204,0.000679204
108,261.685,0.8829,0.64463,1.07465,0.91917,0.93132,0.95842,0.72126,0.96096,0.58349,1.12183,0.00067213,0.00067213,0.00067213
109,263.189,0.87869,0.61986,1.05447,0.92759,0.93164,0.95695,0.72437,0.91861,0.60534,1.10091,0.000665057,0.000665057,0.000665057
110,264.711,0.85523,0.60622,1.05156,0.9212,0.93626,0.96325,0.71927,0.91911,0.58478,1.09358,0.000657983,0.000657983,0.000657983
111,266.261,0.85755,0.59802,1.05423,0.91439,0.9607,0.9594,0.71908,0.89844,0.57985,1.0914,0.000650909,0.000650909,0.000650909
112,267.823,0.89977,0.65,1.06753,0.93489,0.92084,0.95977,0.72257,0.88795,0.57424,1.08827,0.000643836,0.000643836,0.000643836
